t,x_mars,y_mars,x_ship,y_ship,v_x_mars,v_y_mars,v_x_ship,v_y_ship,d,b
1.51200000e+05,2.279111827008330e+11,3.624417181771118e+09,2.281176768611676e+11,3.727034682424095e+09,-3.836834125407851e+02,2.412684190293196e+04,1.019263908796781e+03,2.476619630898043e+04,2.305866208155327e+08,7.746969649236185e+06
1.51380000e+05,2.279111135964426e+11,3.628760012656371e+09,2.281178602990435e+11,3.731492602886990e+09,-3.841431477452538e+02,2.412683458749143e+04,1.018934705235012e+03,2.476625325309680e+04,2.308639948928770e+08,7.746320058205578e+06
1.51560000e+05,2.279110444092998e+11,3.633102842224056e+09,2.281180436776353e+11,3.735950533584622e+09,-3.846028828102438e+02,2.412682726329068e+04,1.018605194169352e+03,2.476631002837127e+04,2.311413954744118e+08,7.745672516207376e+06
1.51740000e+05,2.279109751394047e+11,3.637445670472596e+09,2.281182269968875e+11,3.740408474486665e+09,-3.850626177355882e+02,2.412681993032971e+04,1.018275376670994e+03,2.476636663538278e+04,2.314188225963510e+08,7.745027016484118e+06
1.51920000e+05,2.279109057867574e+11,3.641788497400414e+09,2.281184102567449e+11,3.744866425562866e+09,-3.855223525211200e+02,2.412681258860853e+04,1.017945253806304e+03,2.476642307470749e+04,2.316962760549221e+08,7.744383552132309e+06
1.52100000e+05,2.279108363513578e+11,3.646131323005935e+09,2.281185934571528e+11,3.749324386783091e+09,-3.859820871666724e+02,2.412680523812713e+04,1.017614826636831e+03,2.476647934691892e+04,2.319737559004520e+08,7.743742116338453e+06
1.52280000e+05,2.279107668332060e+11,3.650474147287580e+09,2.281187765980565e+11,3.753782358117329e+09,-3.864418216720784e+02,2.412679787888553e+04,1.017284096219347e+03,2.476653545258779e+04,2.322512620136836e+08,7.743102702311390e+06
1.52460000e+05,2.279106972323020e+11,3.654816970243773e+09,2.281189596794017e+11,3.758240339535651e+09,-3.869015560371712e+02,2.412679051088371e+04,1.016953063605861e+03,2.476659139228218e+04,2.325287943119959e+08,7.742465303232265e+06
1.52640000e+05,2.279106275486458e+11,3.659159791872939e+09,2.281191427011338e+11,3.762698331008224e+09,-3.873612902617837e+02,2.412678313412170e+04,1.016621729843647e+03,2.476664716656749e+04,2.328063527987858e+08,7.741829912504177e+06
1.52820000e+05,2.279105577822375e+11,3.663502612173497e+09,2.281193256631988e+11,3.767156332505323e+09,-3.878210243457490e+02,2.412677574859947e+04,1.016290095975292e+03,2.476670277600651e+04,2.330839373918941e+08,7.741196523393163e+06
1.53000000e+05,2.279104879330770e+11,3.667845431143875e+09,2.281195085655428e+11,3.771614343997334e+09,-3.882807582889004e+02,2.412676835431706e+04,1.015958163038677e+03,2.476675822115936e+04,2.333615479735972e+08,7.740565129232018e+06
1.53180000e+05,2.279104180011645e+11,3.672188248782492e+09,2.281196914081120e+11,3.776072365454738e+09,-3.887404920910707e+02,2.412676095127444e+04,1.015625932067049e+03,2.476681350258352e+04,2.336391845591460e+08,7.739935723482348e+06
