i,b,d_min,delta_v,deflection_angle,collision,t
123,7.091004184100444e+05,3.162630455842522e+06,-2.453144998980861e-03,2.276717178418923e+00,1,5.741999992155578e+04
124,9.927405857740612e+05,3.212650911826504e+06,-1.491488853844203e-03,3.142826938127747e+00,1,5.741999992155578e+04
125,1.276380753138078e+06,3.278381828462800e+06,-2.249367953481851e-04,3.967607136814973e+00,1,5.741999992155578e+04
126,1.560020920502095e+06,3.359077057269535e+06,1.336174182597460e-03,4.743383224744679e+00,1,5.741999992155578e+04
127,1.843661087866111e+06,2.417393669335942e+06,1.182992637041025e-04,7.947031250180956e+00,1,5.759999992093762e+04
128,2.127301255230128e+06,2.554612879099994e+06,2.829620875218097e-03,8.739086833731246e+00,1,5.759999992093762e+04
129,2.410941422594145e+06,2.704786161427038e+06,5.718746792354068e-03,9.416449225046476e+00,1,5.759999992093762e+04
130,2.694581589958162e+06,2.866384992478515e+06,8.782953808804450e-03,9.989924919675090e+00,1,5.759999992093762e+04
131,2.978221757322178e+06,3.038051983171734e+06,1.202768993471182e-02,1.047108060966865e+01,1,5.759999992093762e+04
132,3.261861924686195e+06,3.218598150704759e+06,1.546240299103374e-02,1.087128946447806e+01,1,5.759999992093762e+04
133,3.545502092050212e+06,2.502435933139310e+06,1.761219716672713e-02,1.589111327345573e+01,1,5.777999992031945e+04
134,3.829142259414229e+06,2.736389275424673e+06,2.190978294493107e-02,1.579407273312244e+01,1,5.777999992031945e+04
135,4.112782426778246e+06,2.973168594322795e+06,2.628220651786251e-02,1.568101498246483e+01,1,5.777999992031945e+04
136,4.396422594142262e+06,3.212497928875460e+06,3.078883354783102e-02,1.555592017625056e+01,1,5.777999992031945e+04
137,4.680062761506279e+06,2.697638257184769e+06,3.529592570112072e-02,2.106275281100859e+01,1,5.795999991970129e+04
138,4.963702928870296e+06,2.972273444451209e+06,4.024268649209262e-02,2.026860953091737e+01,1,5.795999991970129e+04
139,5.247343096234312e+06,3.245832077685168e+06,4.538466997973956e-02,1.958881857614659e+01,1,5.795999991970129e+04
140,5.530983263598329e+06,2.902823375674213e+06,5.132442399235515e-02,2.503869115419893e+01,1,5.813999991908312e+04
141,5.814623430962346e+06,3.193465342807156e+06,5.673017834305938e-02,2.373013950266256e+01,1,5.813999991908312e+04
142,6.098263598326363e+06,2.998412329686106e+06,6.357725007046611e-02,2.914936695743636e+01,1,5.831999991846496e+04
143,6.381903765690380e+06,3.290628741751458e+06,6.921511646169165e-02,2.732146042227967e+01,1,5.831999991846496e+04
144,6.665543933054396e+06,3.229628638011119e+06,7.653406429017195e-02,3.216244532217524e+01,1,5.849999991784679e+04
145,6.949184100418413e+06,3.298858191310822e+06,8.408725743584000e-02,3.666969969566689e+01,1,5.867999991722863e+04
146,7.232824267782430e+06,3.480878256272815e+06,9.462562923226869e-02,8.030241006170402e+01,0,1.177200000941590e+05
147,7.516464435146446e+06,3.707272018503771e+06,1.007116670575670e-01,7.813337830393137e+01,0,1.179000000948505e+05
148,7.800104602510463e+06,3.937092613495094e+06,1.072518434834819e-01,7.606027714420841e+01,0,1.179000000948505e+05
149,8.083744769874480e+06,4.170114984574175e+06,1.142055899404113e-01,7.407861540945700e+01,0,1.180800000955420e+05
150,8.367384937238497e+06,4.406130592065081e+06,1.215422662071433e-01,7.218306930259349e+01,0,1.180800000955420e+05
151,8.651025104602514e+06,4.644946250470926e+06,1.292384581220176e-01,7.036962019139538e+01,0,1.182600000962335e+05
152,8.934665271966530e+06,4.886383013898355e+06,1.372761036896009e-01,6.863364872123663e+01,0,1.184400000969250e+05
153,9.218305439330548e+06,5.130275117195774e+06,1.456411124640908e-01,6.697072159380956e+01,0,1.184400000969250e+05
154,9.501945606694564e+06,5.376468977616550e+06,1.543223823096014e-01,6.537753950083295e+01,0,1.186200000976165e+05
155,9.785585774058580e+06,5.624822258901777e+06,1.633111205519526e-01,6.384978209133310e+01,0,1.186200000976165e+05
156,1.006922594142260e+07,5.875202998194288e+06,1.726002457226059e-01,6.238460740338888e+01,0,1.188000000983080e+05
157,1.035286610878661e+07,6.127488794764896e+06,1.821840456173049e-01,6.097806070084956e+01,0,1.188000000983080e+05
158,1.063650627615063e+07,6.381566058309928e+06,1.920578537383335e-01,5.962772540957992e+01,0,1.189800000989995e+05
159,1.092014644351465e+07,6.637329314587747e+06,2.022178334195814e-01,5.832997809170139e+01,0,1.189800000989995e+05
160,1.120378661087867e+07,6.894680565019172e+06,2.126607818645425e-01,5.708279137125844e+01,0,1.191600000996910e+05
161,1.148742677824268e+07,7.153528697178385e+06,2.233840324279299e-01,5.588283663735957e+01,0,1.191600000996910e+05
162,1.177106694560670e+07,7.413788942844118e+06,2.343853251950350e-01,5.472843885716829e+01,0,1.193400001003825e+05
